Entity,Code,Year,Price of lithium-ion battery cells
World,OWID_WRL,1991,9210.23
World,OWID_WRL,1992,7388.138
World,OWID_WRL,1993,5881.7812
World,OWID_WRL,1994,6714.4497
World,OWID_WRL,1995,6301.8833
World,OWID_WRL,1996,5307.834
World,OWID_WRL,1997,4545.2925
World,OWID_WRL,1998,3656.8633
World,OWID_WRL,1999,2769.8726
World,OWID_WRL,2000,2690.6272
World,OWID_WRL,2001,1878.0293
World,OWID_WRL,2002,1345.5295
World,OWID_WRL,2003,1040.3679
World,OWID_WRL,2004,930.90393
World,OWID_WRL,2005,802.5369
World,OWID_WRL,2006,687.29584
World,OWID_WRL,2007,655.836
World,OWID_WRL,2008,687.6569
World,OWID_WRL,2009,612.57623
World,OWID_WRL,2010,550.72064
World,OWID_WRL,2011,524.59796
World,OWID_WRL,2012,539.6925
World,OWID_WRL,2013,490.8935
World,OWID_WRL,2014,434.2699
World,OWID_WRL,2015,331.94275
World,OWID_WRL,2016,259
World,OWID_WRL,2017,187
World,OWID_WRL,2018,157
World,OWID_WRL,2019,132
World,OWID_WRL,2020,123
World,OWID_WRL,2021,119
World,OWID_WRL,2022,132
World,OWID_WRL,2023,111
World,OWID_WRL,2024,78
